Gene,Adipose-Subcutaneous,Adipose-Visceral,Adrenal_Gland,Artery-Aorta,Artery-Coronary,Artery-Tibial,Bladder,Brain-Amygdala,Brain-Anterior_cingulate_cortex,Brain-Caudate,Brain-Cerebellar_Hemisphere,Brain-Cerebellum,Brain-Cortex,Brain-Frontal_Cortex,Brain-Hippocampus,Brain-Hypothalamus,Brain-Nucleus_accumbens,Brain-Putamen,Brain-Spinal_cord,Brain-Substantia_nigra,Breast-Mammary Tissue,Cells-EBV.transformed_lymphocytes,Cells-Transformed,Colon-Sigmoid,Colon-Transverse,Esophagus-Gastroesophageal_Junction,Esophagus-Mucosa,Esophagus-Muscularis,Heart-Atrial_Appendage,Heart-Left_Ventricle,Kidney-Cortex,Liver,Lung,Minor_Salivary_Gland,Muscle-Skeletal,Nerve-Tibial,Pancreas,Pituitary,Skin-Not_Sun_Exposed,Skin-Sun_Exposed,Small Intestine-Terminal Ileum,Spleen,Stomach,Thyroid,Whole_Blood
GLUL_ENSG00000135821.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.257046955,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17870756,0,0,0,0.079450072,0.075442716,0,0,0,0,0
GALNT15_ENSG00000131386.13,0,0,0,0,0,0.150834993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.161404186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111568564,0.149014664,0,0,0,0,0
TGFBI_ENSG00000120708.12,-0.021982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.032091859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.031948589,0,0,0,0.021700872,0,0,0,0,0
GPX3_ENSG00000211445.7,0,0,0,0,0,0.066513771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.143260807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.051693406,0.04878352,0,0,0,0,0
LAMA2_ENSG00000196569.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22508048,0,0,0,0,0,0,0,0,0.117032372,0,0,0,0,0,0,0,0,0.161449363,0.150098846,0,0,0,0,0
IGFBP3_ENSG00000146674.10,0.186326997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.152538171,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038522858,0,0,0,0,0.141708051,0,0,0,0,0
ELN_ENSG00000049540.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.023551805,0,0,0,0,0,0,0,0,0.014824451,0,0,0,0,0,0,0,0,0.046129161,0.058034664,0,0,0,0,0
HSPB1_ENSG00000106211.8,0,0,0,0,0,0,0,0,-0.077244906,0,0,0,0,0,0,0,0,0,0,0,-0.024486784,0,0,0,0,0,0,0,0,0.096995329,0,0,0,0,0.047135954,0,0,0,0,0,0,0,0,0,0
AZGP1_ENSG00000160862.8,0.010836749,0.014677454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008645836,0,0,0,0,0,0,0,0,0,0.013500898,0,0,0,0,0
LPL_ENSG00000175445.10,0.240282019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.23072653,0,0,0,0,0,0,0,0,0.173821448,0,0,0,0,0.035123625,0,0,0,0,0,0,0,0,0,0
