Protein ID,Gene ID,Gene name,Adrenal gland,Appendix,Brain,Colon,Duodenum,Endometrium,Esophagus,Fallopian tube,Fat,Gallbladder,Heart,Kidney,Liver,Lung,Lymph node,Ovary,Pancreas,Placenta,Prostate,Rectum,Salivary gland,Small intestine,Smooth muscle,Spleen,Stomach,Testis,Thyroid,Tonsil,Urinary bladder
ENSP00000480777;ENSP00000420127,ENSG00000123595,RAB9A,795089,30301,449547,28075,168683,193520,126080,130396,316891,66785,475488,205647,594212,513628,38773,39758,224156,432255,389537,85342,332255,167121,77966,236277,151293,156020,168424,47399,111418
ENSP00000319979;ENSP00000480784,ENSG00000175711;ENSG00000277033,B3GNTL1,0,3614,0,2133,0,3078,0,6142,0,46885,1637,0,1055,12890,8566,3191,5569,72948,18471,2676,1044,700,0,1151,2353,25888,858,0,0
ENSP00000394352;ENSP00000480808,ENSG00000150764,DIXDC1,1597,0,3818,3794,549,0,265,6980,719,489,389,0,872,80,0,318,3523,313,3543,4348,512,0,23864,0,1358,1434,59,0,0
ENSP00000463502;ENSP00000480815;ENSP00000468117,ENSG00000266200,PNLIPRP2,288,1411,2496,14423,31205,0,0,4792,65788,2580,0,3088,5712,14894,49,5475,18112418,12917,4205,20412,0,10671,1194,2066,53608,0,3263,328,16201
ENSP00000258014;ENSP00000480824,ENSG00000135549,PKIB,8857,0,15682,521041,425703,93731,190922,70889,54945,176951,0,0,42080,19081,0,21667,131631,597363,17717,371861,7468,304557,29,25046,327828,0,0,0,73934
ENSP00000480832,ENSG00000048162,NOP16,90978,314342,25363,134620,126937,70472,52361,97690,17631,75939,42188,3817,191333,377274,47210,105119,153283,12322,36788,30301,23089,187138,48683,121332,61795,102368,63070,48573,124866
ENSP00000480852,ENSG00000077157,PPP1R12B,0,0,0,0,0,0,0,0,0,0,203841,0,0,0,0,0,1984,0,0,0,0,0,0,0,0,0,0,0,0
ENSP00000252172;ENSP00000480864;ENSP00000404570,ENSG00000006788,MYH13,0,392,535,202,11482,2170,2342,78,17232,294,2743360,0,0,287,867,0,0,0,5179,171,69,0,0,0,676,1994,0,5420,0
ENSP00000305924;ENSP00000480902,ENSG00000119698;ENSG00000278326,PPP4R4,424,0,7040,0,0,264,0,423,0,0,0,0,818306,246,0,0,0,0,79,0,0,2352,0,0,0,347,0,0,1663
ENSP00000355718;ENSP00000480905,ENSG00000198719;ENSG00000275555,DLL1,0,0,4152,429,406,0,0,0,0,0,6620,0,49,3075,0,0,23409,0,0,0,0,0,0,1233,348,0,0,0,0
ENSP00000460885;ENSP00000480927,ENSG00000103426;ENSG00000278760,CORO7-PAM16,230185,90113,175528,120950,322911,42426,129392,83828,277769,119568,152977,125538,233862,352082,140221,94876,47550,210992,91690,172620,66842,278862,22452,234698,100771,343688,112540,78613,127355
ENSP00000480936;ENSP00000354553,ENSG00000198715,GLMP,62541,1541,287,4306,55638,7053,46425,6356,34855,99223,0,16119,32375,38692,1843,14566,0,30259,73287,14923,18708,19509,4498,13606,7126,26324,21693,808,20225
ENSP00000480941;ENSP00000323199;ENSP00000462538,ENSG00000177576,C18orf32,64336,9374,170836,45225,162364,27781,0,19387,0,0,102517,39498,9311,69926,10188,36712,126735,48815,24961,15273,90261,123809,0,23516,0,2492,39425,0,32315
ENSP00000480959,ENSG00000276566,IGKV1D-13,0,12972,0,0,0,33243,0,1403,92105,79544,0,0,25829,0,0,14365,10763,0,2220,0,0,33982,13065,0,0,0,0,0,843850
ENSP00000357231;ENSP00000487358;ENSP00000357233;ENSP00000480630;ENSP00000480967,ENSG00000172673;ENSG00000275122,THEMIS,2184,9605,16257,2376,8448,2440,0,2025,731,4172,14636,0,3002,26678,5460,9115,91314,4491,9960,2581,234,26515,1199,2406,1808,2392,257,12649,6451
ENSP00000480976;ENSP00000367972,ENSG00000172201,ID4,0,0,9939,0,0,4438,7683,15590,0,0,0,0,0,0,0,5136,0,0,0,0,0,0,2029,0,0,15014,0,0,0
ENSP00000225512;ENSP00000478327;ENSP00000480990,ENSG00000108379;ENSG00000277626;ENSG00000277641,WNT3,0,2210,0,0,0,0,0,0,0,0,0,0,0,7431,0,0,0,23767,0,0,3119,0,0,0,0,0,0,0,0
ENSP00000461484;ENSP00000387393;ENSP00000262419;ENSP00000461812;ENSP00000482074;ENSP00000484212;ENSP00000480995;ENSP00000487763,ENSG00000120071;ENSG00000278458,KANSL1,621,110,2736,1508,31215,1185,0,2890,350,0,4866,214,868,16186,4434,672,56322,6598,308,1185,1286,7299,202,380,1237,59908,444,941,124
ENSP00000420512;ENSP00000072869;ENSP00000480996,ENSG00000133597,ADCK2,10240,2607,14662,0,7226,7822,2879,0,0,0,0,2667,0,34336,998,0,0,0,0,0,0,0,0,0,0,1351,380,0,0
ENSP00000478908;ENSP00000478343;ENSP00000479551;ENSP00000481012,ENSG00000185340,GAS2L1,5509,0,24129,1131,3622,893,2449,387,4183,1382,0,307,1263,476,0,131065,12046,2354,2204,1259,1775,5252,1113,3798,2538,25643,0,0,4033
ENSP00000481022,ENSG00000085365,SCAMP1,187560,7561,493658,78612,192921,72727,47198,83343,79512,157991,179666,97616,124805,238373,35751,84119,96082,86775,376485,146160,304663,29008,73214,90288,184131,68665,78962,20314,68085
ENSP00000481032;ENSP00000440704,ENSG00000142765,SYTL1,1870,8873,7988,9180,7356,9881,13876,22304,21349,19306,16721,54549,0,38236,11277,84181,110514,5995,192032,41159,229508,12643,3991,5668,46665,10440,6994,44917,63745
ENSP00000478779;ENSP00000481038,ENSG00000273749,CYFIP1,183134,68390,337863,132803,237994,190703,136825,172413,186494,134489,79895,48343,197289,403050,35407,57206,86825,195485,168402,168530,197174,248074,115688,198028,267676,188215,74370,39073,147155
ENSP00000245255;ENSP00000481042,ENSG00000125207;ENSG00000275051,PIWIL1,113,0,0,0,316,1065,0,0,0,0,0,0,863,0,0,0,0,0,0,258,528,508,0,0,0,130665,0,0,0
ENSP00000338127;ENSP00000481045,ENSG00000107140,TESK1,0,0,609,0,870,0,0,0,0,0,0,0,0,2354,0,0,0,0,1518,2832,0,0,0,0,1070,0,0,0,0
ENSP00000466928;ENSP00000467604;ENSP00000465742;ENSP00000465772;ENSP00000481053;ENSP00000479844,ENSG00000171777,RASGRP4,0,8113,0,0,0,899,2207,0,6558,0,0,0,0,1531,525,79,5677,0,0,49,0,0,0,0,0,0,0,857,0
ENSP00000481054,ENSG00000255587,RAB44,4008,86879,0,5372,5280,5008,9073,170,22730,11420,3333,0,25264,6276,547,11520,1096,49,5662,2948,0,9285,1947,7997,1746,22,994,0,12761
ENSP00000365351;ENSP00000365332;ENSP00000481065,ENSG00000198542,ITGBL1,1251,0,0,0,0,0,9941,1972,0,32456,0,0,0,54349,0,5175,0,2529,0,920,11526,0,6772,0,3433,0,0,0,8766
ENSP00000481077;ENSP00000381032;ENSP00000427741;ENSP00000289820;ENSP00000429413,ENSG00000158806,NPM2,26698,60660,6560,0,2078,2030,3134,1575,0,0,182547,0,0,2520,0,0,16506,586,0,2237,6711,3059,13140,12574,5695,7752,292369,403,1161
ENSP00000374983;ENSP00000481089,ENSG00000211891;ENSG00000276192,IGHE,0,25615,0,857,0,830,771,0,709,10147,0,0,0,38207,0,1727,497,0,9064,703,11595,0,0,0,9026,536,374,0,0
ENSP00000478363;ENSP00000481091;ENSP00000477709,ENSG00000276234,TADA2A,920,0,0,0,125,1817,17017,3222,12189,0,33713,563,2599,12232,0,2292,10843,2188,15708,44199,0,467,20539,1415,0,587,531,180,2810
ENSP00000481102,ENSG00000143493,INTS7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,887
ENSP00000376334;ENSP00000481104;ENSP00000295500;ENSP00000376335,ENSG00000163328,GPR155,23736,359,665,0,0,0,0,0,349,0,2146,6108,2528744,500,671,78,5288,19,0,0,2204,27799,0,123,1992,0,345,0,1116
ENSP00000479068;ENSP00000481109,ENSG00000275342,SGK223,2355,8361,13255,26397,12815,3258,60635,19922,5413,26104,3007,388,1691,96233,7764,3167,2062,7939,4039,12338,341,28279,3207,4244,3456,7104,8970,4272,3721
ENSP00000481114,ENSG00000110203,FOLR3,3562,148232,0,0,0,971,0,0,445129,0,0,0,0,0,768,6205,2044,25348,0,0,0,0,0,0,0,0,0,0,53345
ENSP00000215071;ENSP00000481136,ENSG00000099341,PSMD8,815837,99872,380324,80053,1118207,396350,460256,229886,1541391,813218,679795,84643,670012,987158,75004,77195,180789,360759,427716,934508,127008,421564,107358,503240,242168,266296,332284,169640,537654
ENSP00000463338;ENSP00000463379;ENSP00000481145;ENSP00000480555;ENSP00000463842;ENSP00000463885;ENSP00000462203;ENSP00000462023;ENSP00000482577;ENSP00000462385,ENSG00000215472;ENSG00000265681,RPL17-C18orf32,3447185,2137154,2565904,2307884,5857496,6331058,5972614,1963437,3236192,5128571,6363760,3177310,12849906,8971788,1859551,3556644,19704142,2733993,886263,5384022,6473382,4785427,1433072,2296535,3338485,2059056,4888615,2304809,4395677
ENSP00000481152,ENSG00000277856,AC233755.2,1103811,1112842,214008,271737,1757373,310481,1988604,1022230,4921109,1461620,1177838,757338,817736,8776162,184584,899328,166089,1155923,1037861,281814,414407,572765,780192,68878,2333349,194614,499338,72635,953068
ENSP00000481160;ENSP00000355228,ENSG00000198830,HMGN2,3677209,2334259,483710,1256710,5655,895143,552568,487496,27292,106429,95861,2590320,598981,1992387,244909,496551,774090,436526,60973,109692,721768,5176239,1052312,1181404,1402470,266294,626171,1027406,899995
ENSP00000481169;ENSP00000341171,ENSG00000132613,MTSS1L,14398,9923,281361,7021,10221,26189,11807,3871,9215,4540,1388,9368,72280,12180,4140,2831,6027,13677,6402,21334,3202,4616,19466,21501,10581,780,3002,1851,7215
ENSP00000383846;ENSP00000481178;ENSP00000348944,ENSG00000169218,RSPO1,0,2359,0,0,0,68007,0,5947,975,0,1268,737,0,0,3539,2341,0,0,14688,0,0,0,103477,13605,0,0,0,0,0
ENSP00000481182;ENSP00000459169;ENSP00000269299,ENSG00000141505,ASGR1,0,0,0,16911,8620,0,0,0,0,4112,4516,1060,7986907,0,3263,758,3553,2059,6213,712,0,2666,0,4326,4159,0,0,0,3271
ENSP00000481224,ENSG00000214530,STARD10,202720,4250,42748,96704,184579,114236,39774,14556,3707,111538,26347,22326,2069186,20872,15603,1252,392350,363244,177499,45817,152811,110027,16146,3447,316155,40327,15250,10259,14687
ENSP00000481239;ENSP00000328472;ENSP00000416915,ENSG00000180739,S1PR5,0,0,13152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSP00000481242;ENSP00000371331;ENSP00000371330;ENSP00000252898;ENSP00000371336,ENSG00000130598,TNNI2,1133,66225,0,0,6603,0,6628,0,48923,17144,0,0,0,38794,0,0,1470,0,0,0,28182,24781,0,0,24596,0,6225,97002,0
ENSP00000481244;ENSP00000467727;ENSP00000467818;ENSP00000343314;ENSP00000466398;ENSP00000465289;ENSP00000468535;ENSP00000393611,ENSG00000266964,FXYD1,72040,56761,228430,58425,59954,221948,106744,248316,278040,119310,2931615,7263,849981,24706,34487,0,12525,9620,0,47769,19360,94906,35720,7617,92044,274689,3369,5757,26220
ENSP00000221954;ENSP00000473018;ENSP00000481247;ENSP00000486872,ENSG00000105352;ENSG00000274131,CEACAM4,0,41957,179,0,10818,0,838,0,14107,0,194,0,0,14227,0,0,1695,0,0,0,0,0,0,15027,1201,566,0,0,0
ENSP00000339428;ENSP00000448815;ENSP00000449227;ENSP00000447161;ENSP00000442898;ENSP00000481249,ENSG00000120833,SOCS2,1097,0,0,0,13623,24653,15302,0,0,0,0,7450,0,2021,0,0,4342,0,12524,6764,36089,26192,5726,0,163451,0,0,0,0
ENSP00000481269,ENSG00000205309,NT5M,0,40643,1245,0,4433,0,0,234,0,2443,1200,4873,0,0,0,0,0,0,0,0,0,0,0,3098,0,2388,453,0,4489
ENSP00000481280;ENSP00000356272,ENSG00000155906,RMND1,52286,2612,59552,8200,41848,3321,39197,5827,30276,11505,138363,90557,399555,38390,6078,71895,10988,10984,10234,118783,20918,101719,4650,3752,10956,13604,140297,3188,0
ENSP00000301995;ENSP00000481289;ENSP00000363103,ENSG00000171222,SCAND1,0,0,0,0,0,0,0,0,0,0,0,0,2937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSP00000481301,ENSG00000188338,SLC38A3,0,114,49396,0,0,107,17483,0,0,0,2513,0,415361,0,0,779,14997,0,52,9374,1248,0,8597,0,0,0,5426,0,0
ENSP00000481304;ENSP00000354814,ENSG00000143409,FAM63A,19260,46050,159864,43609,73131,30428,41406,35013,34645,82355,150661,27553,139825,20419,2624,6893,323571,11329,59160,71230,62481,84165,18975,40863,90652,49629,102639,4542,11965
ENSP00000481305;ENSP00000288699;ENSP00000385549,ENSG00000157851,DPYSL5,119088,28565,3967117,33571,41585,0,32260,0,22478,8104,0,25141,4785,50876,1734,3093,20574,821,23363,118328,17382,19963,521,0,14251,28961,367,358,9316
